tconst,averageRating,numVotes
tt0034583,8.5,509427
tt0050083,8.9,667472
tt0054215,8.5,585989
tt0060196,8.8,671785
tt0062622,8.3,587113
tt0066921,8.3,739568
tt0068646,9.2,1570425
tt0071562,9,1097256
tt0073195,8,535423
tt0073486,8.7,890168
tt0075148,8.1,505732
tt0075314,8.3,702348
tt0076759,8.6,1203048
tt0078748,8.4,768040
tt0078788,8.4,590551
tt0080684,8.7,1130951
tt0081505,8.4,868232
tt0082971,8.4,864664
tt0083658,8.1,677272
tt0086190,8.3,927186
tt0086250,8.3,720459
tt0088247,8,783587
tt0088763,8.5,1025976
tt0090605,8.3,638913
tt0093058,8.3,657430
tt0095016,8.2,767262
tt0097576,8.2,676314
tt0099685,8.7,990149
tt0102926,8.6,1232531
tt0103064,8.5,974059
tt0105236,8.3,895569
tt0107048,8,568923
tt0107290,8.1,844762
tt0108052,8.9,1181846
tt0108778,8.9,781128
tt0109830,8.8,1753187
tt0110357,8.5,916165
tt0110413,8.5,1006410
tt0110912,8.9,1778145
tt0111161,9.3,2276108
tt0112573,8.3,940980
tt0113277,8.2,561730
tt0114369,8.6,1400170
tt0114709,8.3,863476
tt0114746,8,568285
tt0114814,8.5,967917
tt0116282,8.1,600287
tt0116629,7,519943
tt0117951,8.1,622942
tt0118715,8.1,712846
tt0118799,8.6,604851
tt0119217,8.3,836317
tt0119488,8.2,521076
tt0119654,7.3,506572
tt0120338,7.8,1022349
tt0120363,7.9,514017
tt0120382,8.1,909272
tt0120586,8.5,1013278
tt0120689,8.6,1110968
tt0120735,8.2,524007
tt0120737,8.8,1618274
tt0120815,8.6,1202400
tt0120903,7.4,561641
tt0120915,6.5,712504
tt0121765,6.5,625182
tt0121766,7.5,693628
tt0126029,7.8,599530
tt0133093,8.7,1630315
tt0137523,8.8,1805367
tt0145487,7.3,674696
tt0162222,7.8,510190
tt0167260,8.9,1602596
tt0167261,8.7,1448253
tt0167404,8.1,893615
tt0169547,8.3,1048150
tt0172495,8.5,1306695
tt0180093,8.3,747484
tt0198781,8,794148
tt0208092,8.3,765902
tt0209144,8.4,1097129
tt0211915,8.3,689925
tt0234215,7.2,505639
tt0240772,7.7,503997
tt0241527,7.6,624217
tt0245429,8.6,625443
tt0246578,8,727911
tt0253474,8.5,706999
tt0264464,8.1,799083
tt0266543,8.1,927018
tt0266697,8.1,976231
tt0268978,8.2,826665
tt0290334,7.4,503751
tt0295297,7.4,535237
tt0304141,7.9,532558
tt0316654,7.3,532104
tt0317248,8.6,685284
tt0317705,8,642171
tt0325980,8,1000688
tt0330373,7.7,529875
tt0332280,7.8,507461
tt0338013,8.3,888814
tt0361748,8.3,1228283
tt0364569,8.4,500426
tt0365748,7.9,501926
tt0369610,7,569028
tt0371746,7.9,919877
tt0372784,8.2,1276289
tt0378194,8,667540
tt0381061,8,569449
tt0382932,8,624106
tt0383574,7.3,643874
tt0401792,8,732912
tt0405159,8.1,622678
tt0407887,8.5,1158349
tt0416449,7.6,722047
tt0418279,7,588910
tt0421715,7.8,575160
tt0434409,8.2,1008702
tt0435761,8.3,738951
tt0440963,8,597303
tt0449088,7.1,584816
tt0451279,7.4,535003
tt0454876,7.9,569803
tt0457430,8.2,606434
tt0458339,6.9,722754
tt0460649,8.3,582537
tt0468569,9,2238278
tt0469494,8.2,502265
tt0477348,8.1,830457
tt0478970,7.3,552994
tt0480249,7.2,673843
tt0482571,8.5,1153517
tt0499549,7.8,1100443
tt0758758,8.1,560131
tt0770828,7,678177
tt0773262,8.6,628562
tt0780504,7.8,558103
tt0796366,7.9,571618
tt0800369,7,730338
tt0816692,8.6,1445579
tt0816711,7,589617
tt0829482,7.6,511000
tt0848228,8,1240378
tt0892769,8.1,650843
tt0898266,8.1,698133
tt0903624,7.8,745552
tt0903747,9.5,1384576
tt0910970,8.4,973672
tt0936501,7.8,557702
tt0944947,9.3,1699503
tt0947798,8,685643
tt0948470,6.9,549671
tt0988045,7.6,573665
tt0993846,8.2,1139623
tt1010048,8,785793
tt1024648,7.7,562759
tt1045658,7.7,650651
tt1049413,8.2,910366
tt1074638,7.7,619830
tt1119646,7.7,705411
tt1130884,8.2,1094392
tt1136608,7.9,629911
tt1156398,7.6,510325
tt1170358,7.8,590381
tt1201607,8.1,742424
tt1205489,8.1,706492
tt1211837,7.5,577749
tt1219289,7.4,518687
tt1228705,7,705567
tt1232829,7.2,501832
tt1250777,7.6,517410
tt1270798,7.7,636513
tt1276104,7.4,525785
tt1285016,7.7,608061
tt1300854,7.2,739146
tt1345836,8.4,1478643
tt1375666,8.8,1998323
tt1386697,6,585424
tt1392170,7.2,829936
tt1392190,8.1,855385
tt1392214,8.1,580169
tt1431045,8,881230
tt1446714,7,560158
tt1454468,7.7,755043
tt1475582,9.1,775588
tt1504320,8,627788
tt1520211,8.2,831898
tt1631867,7.9,585531
tt1637725,6.9,561781
tt1663202,8,684052
tt1670345,7.3,584630
tt1675434,8.5,735797
tt1798709,8,523177
tt1825683,7.3,592650
tt1843866,7.7,718338
tt1853728,8.4,1316107
tt1877832,8,649925
tt1951264,7.5,602616
tt1981115,6.9,581565
tt2015381,8,1022357
tt2024544,8.1,623883
tt2084970,8,667183
tt2096673,8.1,591723
tt2267998,8.1,832117
tt2278388,8.1,686785
tt2294629,7.4,560143
tt2395427,7.3,721854
tt2488496,7.9,844483
tt2527336,7,547090
tt2543164,7.9,574761
tt2562232,7.7,565825
tt2582802,8.5,689560
tt2802144,7.7,578809
tt2911666,7.4,519452
tt2975590,6.4,611394
tt3315342,8.1,626503
tt3498820,7.8,643191
tt3501632,7.9,563464
tt3659388,8,739853
tt3748528,7.8,537971
tt3896198,7.6,549197
tt4154756,8.4,794583
tt4154796,8.4,751535
tt4574334,8.8,761926
tt5013056,7.9,529153
tt7131622,7.6,504294
tt7286456,8.5,848381
